Country,Medal_Type,__count,__count_start,__count_end
United States of America,Gold,39,0,39
United States of America,Silver,41,39,80
United States of America,Bronze,33,80,113
China,Gold,38,0,38
China,Silver,32,38,70
China,Bronze,18,70,88
Japan,Gold,27,0,27
Japan,Silver,14,27,41
Japan,Bronze,17,41,58
Great Britain,Gold,22,0,22
Great Britain,Silver,21,22,43
Great Britain,Bronze,22,43,65
Russia,Gold,20,0,20
Russia,Silver,28,20,48
Russia,Bronze,23,48,71
Australia,Gold,17,0,17
Australia,Silver,7,17,24
Australia,Bronze,22,24,46
France,Gold,10,0,10
France,Silver,12,10,22
France,Bronze,11,22,33
Germany,Gold,10,0,10
Germany,Silver,11,10,21
Germany,Bronze,16,21,37
Italy,Gold,10,0,10
Italy,Silver,10,10,20
Italy,Bronze,20,20,40
Canada,Gold,7,0,7
Canada,Silver,6,7,13
Canada,Bronze,11,13,24
Brazil,Gold,7,0,7
Brazil,Silver,6,7,13
Brazil,Bronze,8,13,21
South Korea,Gold,6,0,6
South Korea,Silver,4,6,10
South Korea,Bronze,10,10,20
Poland,Gold,4,0,4
Poland,Silver,5,4,9
Poland,Bronze,5,9,14
Turkey,Gold,2,0,2
Turkey,Silver,2,2,4
Turkey,Bronze,9,4,13
India,Gold,1,0,1
India,Silver,2,1,3
India,Bronze,4,3,7
South Africa,Gold,1,0,1
South Africa,Silver,2,1,3
South Africa,Bronze,0,3,3
Indonesia,Gold,1,0,1
Indonesia,Silver,1,1,2
Indonesia,Bronze,3,2,5
Argentina,Gold,0,0,0
Argentina,Silver,1,0,1
Argentina,Bronze,2,1,3
Saudi Arabia,Gold,0,0,0
Saudi Arabia,Silver,1,0,1
Saudi Arabia,Bronze,0,1,1
Mexico,Gold,0,0,0
Mexico,Silver,0,0,0
Mexico,Bronze,4,0,4
