Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total,longitude,latitude
1,United States,39,41,33,113,1,-97,38
2,China,38,32,18,88,2,105,35
3,Japan,27,14,17,58,5,138,36
4,Great Britain,22,21,22,65,4,-2,54
5,Russia,20,28,23,71,3,100,60
6,Australia,17,7,22,46,6,133,-27
7,Netherlands,10,12,14,36,9,5.75,52.5
8,France,10,12,11,33,10,2,46
9,Germany,10,11,16,37,8,9,51
10,Italy,10,10,20,40,7,12.83,42.83
11,Canada,7,6,11,24,11,-95,60
12,Brazil,7,6,8,21,12,-55,-10
13,New Zealand,7,6,7,20,13,174,-41
14,Cuba,7,3,5,15,18,-80,21.5
15,Hungary,6,7,7,20,13,20,47
16,South Korea,6,4,10,20,13,127.5,37
17,Poland,4,5,5,14,19,20,52
18,Czechia,4,4,3,11,23,15.5,49.75
19,Kenya,4,4,2,10,25,38,1
20,Norway,4,2,2,8,29,10,62
21,Jamaica,4,1,4,9,26,-77.5,18.25
22,Spain,3,8,6,17,17,-4,40
23,Sweden,3,6,0,9,26,15,62
24,Switzerland,3,4,6,13,20,8,47
25,Denmark,3,4,4,11,23,10,56
26,Croatia,3,3,2,8,29,15.5,45.17
28,Serbia,3,1,5,9,26,21,44
29,Belgium,3,1,3,7,33,4,50.83
30,Bulgaria,3,1,2,6,39,25,43
31,Slovenia,3,1,1,5,42,15,46
32,Uzbekistan,3,0,2,5,42,64,41
33,Georgia,2,5,1,8,29,43.5,42
35,Turkey,2,2,9,13,20,35,39
36,Greece,2,1,1,4,47,22,39
36,Uganda,2,1,1,4,47,32,1
38,Ecuador,2,1,0,3,60,-77.5,-2
39,Ireland,2,0,2,4,47,-8,53
39,Israel,2,0,2,4,47,34.75,31.5
41,Qatar,2,0,1,3,60,51.25,25.5
42,Bahamas,2,0,0,2,66,-76,24.25
44,Ukraine,1,6,12,19,16,32,49
45,Belarus,1,3,3,7,33,28,53
46,Romania,1,3,0,4,47,25,46
46,Venezuela,1,3,0,4,47,-66,8
48,India,1,2,4,7,33,77,20
50,Philippines,1,2,1,4,47,122,13
50,Slovakia,1,2,1,4,47,19.5,48.67
52,South Africa,1,2,0,3,60,24,-29
53,Austria,1,1,5,7,33,13.33,47.33
54,Egypt,1,1,4,6,39,30,27
55,Indonesia,1,1,3,5,42,120,-5
56,Ethiopia,1,1,2,4,47,38,8
56,Portugal,1,1,2,4,47,-8,39.5
58,Tunisia,1,1,0,2,66,9,34
59,Estonia,1,0,1,2,66,26,59
59,Fiji,1,0,1,2,66,175,-18
59,Latvia,1,0,1,2,66,25,57
59,Thailand,1,0,1,2,66,100,15
63,Bermuda,1,0,0,1,77,-64.75,32.33
63,Morocco,1,0,0,1,77,-5,32
63,Puerto Rico,1,0,0,1,77,-66.5,18.25
66,Colombia,0,4,1,5,42,-72,4
67,Azerbaijan,0,3,4,7,33,47.5,40.5
68,Dominican Republic,0,3,2,5,42,-70.67,19
69,Armenia,0,2,2,4,47,45,40
70,Kyrgyzstan,0,2,1,3,60,75,41
71,Mongolia,0,1,3,4,47,105,46
72,Argentina,0,1,2,3,60,-64,-34
72,San Marino,0,1,2,3,60,12.42,43.77
74,Jordan,0,1,1,2,66,36,31
74,Malaysia,0,1,1,2,66,112.5,2.5
74,Nigeria,0,1,1,2,66,8,10
77,Bahrain,0,1,0,1,77,50.55,26
77,Saudi Arabia,0,1,0,1,77,45,25
77,Lithuania,0,1,0,1,77,24,56
77,Namibia,0,1,0,1,77,17,-22
77,Turkmenistan,0,1,0,1,77,60,40
83,Kazakhstan,0,0,8,8,29,68,48
84,Mexico,0,0,4,4,47,-102,23
85,Finland,0,0,2,2,66,26,64
86,Botswana,0,0,1,1,77,24,-22
86,Burkina Faso,0,0,1,1,77,-2,13
86,Ghana,0,0,1,1,77,-2,8
86,Grenada,0,0,1,1,77,-61.67,12.12
86,Kuwait,0,0,1,1,77,47.66,29.34
86,Syria,0,0,1,1,77,38,35
